,y,ds
972,5416.1856,2020-08-31
973,6672.876,2020-09-01
974,5828.9245,2020-09-02
975,5567.4864,2020-09-03
976,6543.127435,2020-09-04
977,6442.7328,2020-09-05
978,5077.674,2020-09-06
979,6218.947,2020-09-07
980,6326.330455,2020-09-08
981,6202.2688,2020-09-09
982,5757.57,2020-09-10
983,6279.196,2020-09-11
984,5413.8448,2020-09-12
985,5155.5854,2020-09-13
986,5550.09,2020-09-14
987,6368.04,2020-09-15
988,6212.9886,2020-09-16
989,5228.496,2020-09-17
990,6222.1124,2020-09-18
991,6002.6358,2020-09-19
992,6191.948,2020-09-20
993,6678.7812,2020-09-21
994,5686.7076,2020-09-22
995,6082.9944,2020-09-23
996,5761.56,2020-09-24
997,6362.618069,2020-09-25
998,6497.011536,2020-09-26
999,5787.096,2020-09-27
1000,2788.5312,2020-09-28
1001,6123.307126,2020-09-29
1002,5421.361066,2020-09-30
1003,5119.3163,2020-10-01
1004,5515.9356,2020-10-02
1005,6451.431,2020-10-03
1006,5465.901,2020-10-04
1007,6222.205899,2020-10-05
1008,5869.231427,2020-10-06
1009,7098.4095,2020-10-07
1010,5557.393296,2020-10-08
1011,6722.352,2020-10-09
1012,6235.725854,2020-10-10
1013,6450.087567,2020-10-11
1014,5651.032052,2020-10-12
1015,5590.222165,2020-10-13
1016,6283.375392,2020-10-14
1017,6160.212072,2020-10-15
1018,2409.681498,2020-10-16
1019,2510.507645,2020-10-17
1020,2511.141772,2020-10-18
1021,2633.6128,2020-10-19
1022,2810.8752,2020-10-20
1023,5972.189227,2020-10-21
1024,6378.68,2020-10-22
1025,2421.9832,2020-10-23
1026,3111.003,2020-10-24
1027,2871.496228,2020-10-25
1028,3190.7232,2020-10-26
1029,2539.5552,2020-10-27
1030,2714.466893,2020-10-28
1031,5958.365186,2020-10-29
1032,6144.0015,2020-10-30
1033,7469.28,2020-10-31
1034,6852.16,2020-11-01
1035,2784.8737,2020-11-02
1036,2762.144,2020-11-03
1037,3165.1074,2020-11-04
1038,2417.94,2020-11-05
1039,3566.1024,2020-11-06
1040,3640.21,2020-11-07
1041,2885.568,2020-11-08
1042,7407.036,2020-11-09
1043,5978.5362,2020-11-10
1044,2740.0128,2020-11-11
1045,2434.432,2020-11-12
1046,2962.8144,2020-11-13
1047,2737.0336,2020-11-14
1048,3188.808,2020-11-15
1049,2714.796,2020-11-16
1050,2406.06709,2020-11-17
1051,2589.3504,2020-11-18
1052,2435.496,2020-11-19
1053,2665.9584,2020-11-20
1054,3281.093189,2020-11-21
1055,2696.377075,2020-11-22
1056,2577.7927,2020-11-23
1057,3019.7916,2020-11-24
1058,3056.6592,2020-11-25
1059,2678.62,2020-11-26
1060,2823.749515,2020-11-27
1061,3388.253809,2020-11-28
1062,3501.0255,2020-11-29
1063,3050.9136,2020-11-30
1064,2918.685,2020-12-01
1065,2933.7672,2020-12-02
1066,3622.8003,2020-12-03
1067,2629.794397,2020-12-04
1068,2463.129955,2020-12-05
1069,2684.2592,2020-12-06
1070,2741.2896,2020-12-07
1071,3029.8464,2020-12-08
1072,2603.3154,2020-12-09
1073,2997.0486,2020-12-10
1074,2921.6376,2020-12-11
1075,3167.5945,2020-12-12
1076,3167.5945,2020-12-13
1077,3383.354511,2020-12-14
1078,2714.591329,2020-12-15
1079,2585.035107,2020-12-16
