,y,ds
225,4389.0,2018-08-14
226,4512.5038,2018-08-15
227,4921.0,2018-08-16
228,4921.0,2018-08-17
229,4788.0,2018-08-18
230,4788.0,2018-08-19
231,4655.0,2018-08-20
232,4389.0,2018-08-21
233,4788.0,2018-08-22
234,4522.0,2018-08-23
235,4788.0,2018-08-24
236,4921.0,2018-08-25
237,4620.5264,2018-08-26
238,4921.0,2018-08-27
239,4788.0,2018-08-28
240,4788.0,2018-08-29
241,4522.0,2018-08-30
242,4788.0,2018-08-31
243,5320.0,2018-09-01
244,4921.0,2018-09-02
245,4788.0,2018-09-03
246,4620.5264,2018-09-04
247,4788.0,2018-09-05
248,4788.0,2018-09-06
249,5054.0,2018-09-07
250,5212.004,2018-09-08
251,5054.0,2018-09-09
252,4921.0,2018-09-10
253,4921.0,2018-09-11
254,5054.0,2018-09-12
255,5054.0,2018-09-13
256,5187.0,2018-09-14
257,5054.0,2018-09-15
258,5187.0,2018-09-16
259,4788.0,2018-09-17
260,4921.0,2018-09-18
261,4921.0,2018-09-19
262,5320.0,2018-09-20
263,4921.0,2018-09-21
264,4921.0,2018-09-22
265,5054.0,2018-09-23
266,5054.0,2018-09-24
267,4651.0366,2018-09-25
268,5005.4018,2018-09-26
269,4921.0,2018-09-27
270,2128.0,2018-09-28
271,5266.002,2018-09-29
272,4792.5752,2018-09-30
273,4921.0,2018-10-01
274,5054.0,2018-10-02
275,4921.0,2018-10-03
276,5054.0,2018-10-04
277,5238.87,2018-10-05
278,5035.8056,2018-10-06
279,5187.0,2018-10-07
280,5238.87,2018-10-08
281,5320.0,2018-10-09
282,5299.784,2018-10-10
283,5282.627,2018-10-11
284,4907.966,2018-10-12
285,4674.0988,2018-10-13
286,4670.96,2018-10-14
287,5032.853,2018-10-15
288,2113.7557,2018-10-16
289,2113.7557,2018-10-17
290,2113.7557,2018-10-18
291,2261.0,2018-10-19
292,2128.0,2018-10-20
293,5266.4808,2018-10-21
294,5320.0,2018-10-22
295,2261.0,2018-10-23
296,2394.0,2018-10-24
297,2231.1548,2018-10-25
298,2394.0,2018-10-26
299,2261.0,2018-10-27
300,2378.3991,2018-10-28
