,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
10,2018-01-11,3048.170987593626,1094.28971612735,4235.192257297552,3048.170987593626,3048.170987593626,-427.60737302947706,-427.60737302947706,-427.60737302947706,462.59191623570547,462.59191623570547,462.59191623570547,22.468361364176463,22.468361364176463,22.468361364176463,-912.667650629359,-912.667650629359,-912.667650629359,0.0,0.0,0.0,2620.563614564149
11,2018-01-12,3048.971220917221,1101.7604157139212,4110.689227608193,3048.971220917221,3048.971220917221,-463.52322236554517,-463.52322236554517,-463.52322236554517,462.59191623570547,462.59191623570547,462.59191623570547,-34.59503457638263,-34.59503457638263,-34.59503457638263,-891.5201040248679,-891.5201040248679,-891.5201040248679,0.0,0.0,0.0,2585.447998551676
12,2018-01-13,3049.7714542408175,1008.8052553512249,4141.449900956992,3049.7714542408175,3049.7714542408175,-422.995111586388,-422.995111586388,-422.995111586388,462.59191623570547,462.59191623570547,462.59191623570547,-14.026900617678816,-14.026900617678816,-14.026900617678816,-871.5601272044146,-871.5601272044146,-871.5601272044146,0.0,0.0,0.0,2626.7763426544298
13,2018-01-14,3050.571687564413,1191.6120005397083,4235.702097452485,3050.571687564413,3050.571687564413,-365.3049932162618,-365.3049932162618,-365.3049932162618,462.59191623570547,462.59191623570547,462.59191623570547,25.161350794796075,25.161350794796075,25.161350794796075,-853.0582602467633,-853.0582602467633,-853.0582602467633,0.0,0.0,0.0,2685.2666943481513
14,2018-01-15,3051.371920888009,1080.227824667773,4275.015630921708,3051.371920888009,3051.371920888009,-357.01367126147625,-357.01367126147625,-357.01367126147625,462.59191623570547,462.59191623570547,462.59191623570547,16.64672438276786,16.64672438276786,16.64672438276786,-836.2523118799495,-836.2523118799495,-836.2523118799495,0.0,0.0,0.0,2694.3582496265326
15,2018-01-16,3052.1721542116047,1104.053281161076,4256.939552842641,3052.1721542116047,3052.1721542116047,-370.00815349332396,-370.00815349332396,-370.00815349332396,462.59191623570547,462.59191623570547,462.59191623570547,-11.260909337740124,-11.260909337740124,-11.260909337740124,-821.3391603912892,-821.3391603912892,-821.3391603912892,0.0,0.0,0.0,2682.164000718281
16,2018-01-17,3052.9723875352006,1077.1438537135755,4330.93537505711,3052.9723875352006,3052.9723875352006,-350.26958030429586,-350.26958030429586,-350.26958030429586,462.59191623570547,462.59191623570547,462.59191623570547,-4.393592010113514,-4.393592010113514,-4.393592010113514,-808.4679045298878,-808.4679045298878,-808.4679045298878,0.0,0.0,0.0,2702.702807230905
17,2018-01-18,3053.772620858797,1309.5003421829203,4289.199871521061,3053.772620858797,3053.772620858797,-312.67432549695906,-312.67432549695906,-312.67432549695906,462.59191623570547,462.59191623570547,462.59191623570547,22.468361364202817,22.468361364202817,22.468361364202817,-797.7346030968673,-797.7346030968673,-797.7346030968673,0.0,0.0,0.0,2741.0982953618377
18,2018-01-19,3054.5728541823923,1082.0132502707374,4359.371206549494,3054.5728541823923,3054.5728541823923,-361.1819081357264,-361.1819081357264,-361.1819081357264,462.59191623570547,462.59191623570547,462.59191623570547,-34.5950345763347,-34.5950345763347,-34.5950345763347,-789.1787897950971,-789.1787897950971,-789.1787897950971,0.0,0.0,0.0,2693.3909460466657
19,2018-01-20,3055.373087505988,1161.1863289907085,4381.3584203990995,3055.373087505988,3055.373087505988,-334.2168759096479,-334.2168759096479,-334.2168759096479,462.59191623570547,462.59191623570547,462.59191623570547,-14.026900617608472,-14.026900617608472,-14.026900617608472,-782.7818915277448,-782.7818915277448,-782.7818915277448,0.0,0.0,0.0,2721.15621159634
20,2018-01-21,3056.173320829584,1260.0550175229264,4414.331833067984,3056.173320829584,3056.173320829584,-290.71434853652534,-290.71434853652534,-290.71434853652534,462.59191623570547,462.59191623570547,462.59191623570547,25.16135079483282,25.16135079483282,25.16135079483282,-778.4676155670637,-778.4676155670637,-778.4676155670637,0.0,0.0,0.0,2765.4589722930587
21,2018-01-22,3056.97355415318,1246.296701540085,4480.818091012066,3056.97355415318,3056.97355415318,-296.8656652249992,-296.8656652249992,-296.8656652249992,462.59191623570547,462.59191623570547,462.59191623570547,16.64672438272183,16.64672438272183,16.64672438272183,-776.1043058434263,-776.1043058434263,-776.1043058434263,0.0,0.0,0.0,2760.1078889281807
22,2018-01-23,3057.7737874767754,1147.4723604950632,4339.559065888782,3057.7737874767754,3057.7737874767754,-324.1781962217341,-324.1781962217341,-324.1781962217341,462.59191623570547,462.59191623570547,462.59191623570547,-11.260909337715882,-11.260909337715882,-11.260909337715882,-775.5092031197237,-775.5092031197237,-775.5092031197237,0.0,0.0,0.0,2733.595591255041
23,2018-01-24,3058.5740208003717,1117.8815152323393,4315.566017971429,3058.5740208003717,3058.5740208003717,-318.2561558901492,-318.2561558901492,-318.2561558901492,462.59191623570547,462.59191623570547,462.59191623570547,-4.393592010130366,-4.393592010130366,-4.393592010130366,-776.4544801157243,-776.4544801157243,-776.4544801157243,0.0,0.0,0.0,2740.3178649102224
24,2018-01-25,3059.374254123967,1185.6752641699206,4353.219017175681,3059.374254123967,3059.374254123967,-293.614585177896,-293.614585177896,-293.614585177896,462.59191623570547,462.59191623570547,462.59191623570547,22.46836136419211,22.46836136419211,22.46836136419211,-778.6748627777936,-778.6748627777936,-778.6748627777936,0.0,0.0,0.0,2765.759668946071
